City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Kupang,ID,79.99,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
324,Angoche,MZ,78.3,broken clouds,-16.23,39.91,Guest House HESADA
339,Kununurra,AU,78.8,overcast clouds,-15.77,128.73,Hotel Kununurra
341,Akyab,MM,77.22,overcast clouds,20.15,92.9,Hotel Memory
343,Garowe,SO,78.13,clear sky,8.41,48.48,Curubo Hotel
346,Aneho,TG,80.82,overcast clouds,6.23,1.6,Hotel La Linette
351,Bouna,CI,81.91,scattered clouds,9.27,-3.0,Hotel Reserve
352,La Primavera,CO,76.75,moderate rain,5.49,-70.41,La Riviera Hotel Colonial
353,Mamallapuram,IN,80.6,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
354,Iracoubo,GF,83.79,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
364,Dimbokro,CI,75.43,clear sky,6.65,-4.7,complexe hôtelier le jardin d'Eden
366,Porto Novo,BJ,80.01,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
372,Quelimane,MZ,75.2,few clouds,-17.88,36.89,Hotel Flamingo
377,Coihaique,CL,78.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
383,Prattville,US,75.2,clear sky,32.46,-86.46,InTown Suites Extended Stay Prattville AL
389,La Ermita,MX,81.64,clear sky,20.41,-101.99,AUTO-HOTEL BERVELY HILLS
393,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
396,Faanui,PF,79.9,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
398,Dingle,PH,75.65,overcast clouds,11.0,122.67,Camp Pasica
399,Abaete,BR,78.04,light rain,-19.16,-45.45,Hotel Millenium
405,Alta Floresta,BR,77.0,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
410,Wau,SS,75.25,scattered clouds,7.7,28.0,Universal Gab Hotel
411,Bonthe,SL,80.01,clear sky,7.53,-12.51,Bonthe Holiday Village
413,Arjawinangun,ID,77.22,overcast clouds,-6.65,108.41,Mushollah An-Nur
429,Ocala,US,84.0,moderate rain,29.19,-82.14,Howard Johnson by Wyndham Ocala FL
433,Tual,ID,83.7,overcast clouds,-5.67,132.75,Grand Vilia Hotel
436,Arlit,NE,78.94,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
439,Maragogi,BR,78.58,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
443,Upington,ZA,78.8,clear sky,-28.45,21.26,River Place Manor
447,Kayankulam,IN,77.85,scattered clouds,9.18,76.5,Hotel Royal Indraprastha
448,Kandrian,PG,77.7,moderate rain,-6.22,149.55,Kandrian Station
454,Takoradi,GH,78.91,light rain,4.88,-1.76,Raybow International Hotel
455,Tucuman,AR,87.8,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
461,Puerto Escondido,MX,86.09,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
466,Nisia Floresta,BR,84.2,scattered clouds,-6.09,-35.21,Rancho Crepusculo
472,Puerto Cabezas,NI,78.8,light intensity drizzle,14.04,-83.39,Hotel Caribe
474,San Felipe,VE,80.94,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
475,Meulaboh,ID,76.37,overcast clouds,4.14,96.13,Kost Pria
483,Calabozo,VE,83.7,overcast clouds,8.92,-67.43,Hotel Giardini
485,Sinjai,ID,75.16,overcast clouds,-5.12,120.25,Wisma Sandika
489,Marrakesh,MA,75.2,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
492,Nabire,ID,76.57,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
501,Salinas,US,82.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
505,Progreso,MX,82.4,overcast clouds,21.28,-89.67,Playa Linda Hotel
511,Libreville,GA,78.8,light rain,0.39,9.45,Hotel Re-Ndama
518,Fomboni,KM,78.04,broken clouds,-12.28,43.74,Auberge les abou
519,Mlonggo,ID,78.13,overcast clouds,-6.53,110.7,Asia Metal Art
523,Tupsan,PH,81.16,moderate rain,9.2,124.78,Algen's Dive Resort
524,Ambon,ID,82.0,heavy intensity rain,-3.7,128.18,Swiss-Belhotel Ambon
530,Itarema,BR,82.24,clear sky,-2.92,-39.92,Windvillage
531,Martapura,ID,75.06,overcast clouds,-3.42,114.85,Montana Hotel Syariah
532,Healdsburg,US,80.01,clear sky,38.61,-122.87,Best Western Dry Creek Inn
533,Ifakara,TZ,76.59,few clouds,-8.13,36.68,Tanzanian Training Centre for International Health
535,Brenham,US,77.0,clear sky,30.17,-96.4,Hampton Inn & Suites Brenham
537,Benguela,AO,78.19,overcast clouds,-12.58,13.41,Hotel Praia Morena
540,Frontera,MX,76.35,clear sky,26.93,-101.45,Fiesta Inn Monclova
542,Nouadhibou,MR,80.6,sand,20.93,-17.03,El Medina
543,Vayalar,IN,79.66,scattered clouds,9.7,76.33,Vasundhara Sarovar Premiere
548,Riberalta,BO,87.8,broken clouds,-10.98,-66.1,Hotel Colonial
553,Srandakan,ID,76.26,light rain,-7.94,110.25,Puri Brata
556,Ishigaki,JP,76.82,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
560,Porto Velho,BR,86.0,shower rain,-8.76,-63.9,Hotel Vila Rica Porto Velho
564,Talara,PE,77.0,clear sky,-4.58,-81.27,Hostal Oro Negro
566,Pensacola,US,78.8,clear sky,30.42,-87.22,Days Inn by Wyndham Pensacola - Historic Downtown
567,Acapulco,MX,86.72,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
568,Atar,MR,84.99,overcast clouds,20.52,-13.05,Oumou Elghoura
570,San Luis,AR,82.51,clear sky,-33.3,-66.34,Huarpes Hotel
571,Pacific Grove,US,75.99,clear sky,36.62,-121.92,Lovers Point Inn
581,Sao Jose Da Coroa Grande,BR,78.91,broken clouds,-8.9,-35.15,Crôa Mares Hotel
583,Tutoia,BR,82.29,few clouds,-2.76,-42.27,Pousada Guará's
589,Comodoro Rivadavia,AR,78.8,clear sky,-45.87,-67.5,Austral Hotel
590,Manokwari,ID,82.02,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
591,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
592,Cerano,MX,80.6,clear sky,20.12,-101.38,Hotel California
597,San Carlos De Bariloche,AR,82.4,few clouds,-41.15,-71.31,Hotel Patagonia
599,Abu Zabad,SD,87.1,broken clouds,12.35,29.25,محي الدين نوري
600,Juba,SS,77.68,overcast clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
601,Carmen,MX,80.6,light rain,18.63,-91.83,Hotel Lossandes
603,Labuhan,ID,77.7,moderate rain,-6.88,112.21,bador sepret
607,Gorontalo,ID,75.94,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
608,Dwarka,IN,81.19,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
613,Klaeng,TH,76.82,overcast clouds,12.78,101.65,Damrongcheep in Resort
615,Pombas,CV,78.8,broken clouds,17.15,-25.02,POUSADA O RECANTO
619,Bluefields,NI,77.0,light rain,12.01,-83.76,Nicaraguan Typical House Downtown
622,Bassila,BJ,79.47,scattered clouds,9.01,1.67,COMPLEXE MAKOYA ET FILS
624,Maningrida,AU,75.78,broken clouds,-12.07,134.27,Dhukurrdji Lodge
625,Sao Lourenco Do Oeste,BR,78.01,few clouds,-26.36,-52.85,Poente Hotel
626,Valle De Guadalupe,MX,77.94,clear sky,21.0,-102.62,Hotel Río
630,Gouyave,GD,77.0,light rain,12.16,-61.73,Rumboat Retreat
631,Kpandae,GH,82.13,few clouds,8.47,-0.01,S. Amaski Guest House
632,Saint-Georges,GD,77.0,light rain,12.06,-61.75,Siesta Hotel
633,Ibotirama,BR,81.48,light rain,-12.19,-43.22,Serra do Rio Hotel
636,Cuenca,EC,78.8,few clouds,-2.88,-78.98,Hotel Cuenca
640,Cidahu,ID,77.0,moderate rain,-6.31,106.06,Pondok Pesantren Modern Darussalam Pandeglang
649,Muisne,EC,82.4,scattered clouds,0.6,-80.03,Quinta Samay
650,Abeche,TD,80.64,few clouds,13.83,20.83,Assaleh Hamdan Haroune
656,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
661,Kismayo,SO,79.79,overcast clouds,-0.36,42.55,Agan-Hotel
665,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
668,Turan,VN,75.2,very heavy rain,16.07,108.22,Grand Mercure Danang
670,Elesbao Veloso,BR,89.8,broken clouds,-6.2,-42.14,Pousada Paraiso
671,Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
672,Cantagallo,CO,86.31,light rain,7.38,-73.92,Apartahotel Altamira
677,Puebloviejo,CO,84.99,moderate rain,10.99,-74.28,The Journey Hostel
679,Hobyo,SO,80.76,light rain,5.35,48.53,Osmani Hotel
697,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
698,Santa Isabel Do Rio Negro,BR,81.37,scattered clouds,-0.41,-65.02,Hotel GSA
709,Cabedelo,BR,82.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
