City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Longyan,CN,25.11,117.02,61.74,72,0,3.13,clear sky
131,Kalmunai,LK,7.42,81.82,80.62,75,58,5.61,moderate rain
132,Itoman,JP,26.12,127.67,71.6,83,20,2.24,few clouds
133,Bluff,NZ,-46.6,168.33,48.99,87,100,8.99,light rain
134,Azangaro,PE,-14.92,-70.22,68.0,15,40,6.93,scattered clouds
135,Road Town,VG,18.42,-64.62,86.0,66,40,11.41,scattered clouds
136,Saint Anthony,US,45.02,-93.22,37.99,34,1,12.75,clear sky
137,Kathmandu,NP,27.72,85.32,59.0,93,20,2.24,few clouds
138,Leshan,CN,29.56,103.76,60.28,59,98,1.66,overcast clouds
139,Kaseda,JP,31.42,130.32,70.34,82,100,3.83,light rain
140,Krasnyy Chikoy,RU,50.36,108.75,8.94,90,45,3.13,scattered clouds
141,Plast,RU,54.37,60.81,29.8,96,0,2.44,clear sky
142,Butaritari,KI,3.07,172.79,81.79,78,1,10.6,clear sky
143,Syedove,UA,47.08,38.16,56.19,81,6,17.94,clear sky
144,Kedougou,SN,12.56,-12.17,82.33,34,0,2.82,clear sky
145,Airai,TL,-8.93,125.41,60.37,79,98,2.17,overcast clouds
146,Mount Isa,AU,-20.73,139.5,71.6,21,0,3.36,clear sky
147,Jumla,NP,29.27,82.18,45.95,58,0,5.5,clear sky
148,Mayo,US,38.89,-76.51,59.0,100,75,5.82,broken clouds
149,Sainte-Claire,CA,46.6,-70.86,45.0,65,100,8.05,overcast clouds
150,Leeton,AU,-34.57,146.4,55.4,71,0,6.93,clear sky
151,Ode,NG,7.79,5.71,76.48,58,100,3.2,overcast clouds
152,Ostrovnoy,RU,68.05,39.51,36.48,90,100,19.35,overcast clouds
153,Grindavik,IS,63.84,-22.43,37.4,93,75,4.7,broken clouds
154,Sucua,EC,-2.47,-78.17,78.8,61,20,11.41,few clouds
155,Souillac,MU,-20.52,57.52,69.8,64,20,9.17,few clouds
156,Hithadhoo,MV,-0.6,73.08,83.23,73,100,11.05,light rain
157,Gizo,SB,-8.1,156.84,83.23,75,30,7.85,light rain
158,Poum,NC,-20.23,164.02,76.93,75,0,13.82,clear sky
159,Sabancuy,MX,18.97,-91.18,80.51,81,15,8.75,light rain
160,Miraflores,MX,19.22,-98.81,75.2,31,40,12.75,scattered clouds
161,Puerto Colombia,CO,10.99,-74.95,75.2,94,90,2.24,drizzle
162,Bilibino,RU,68.05,166.44,2.82,83,82,0.76,broken clouds
163,Ouesso,CG,1.61,16.05,71.87,96,100,2.06,moderate rain
164,Vardo,NO,70.37,31.11,39.2,86,75,14.99,broken clouds
165,Nikolskoye,RU,59.7,30.79,32.0,95,90,6.71,fog
166,Stornoway,GB,58.21,-6.39,50.0,81,100,27.51,overcast clouds
167,Saint-Pierre,RE,-21.34,55.48,68.0,68,90,5.82,overcast clouds
168,Cordoba,AR,-31.41,-64.18,84.0,22,0,14.99,clear sky
169,Yamada,JP,39.47,141.95,56.77,83,100,9.8,light rain
170,Port Elizabeth,ZA,-33.92,25.57,64.4,82,23,13.87,few clouds
171,Yar-Sale,RU,66.83,70.83,30.09,98,100,18.43,overcast clouds
172,Buala,SB,-8.14,159.59,82.06,77,99,5.35,light rain
173,Meybod,IR,32.25,54.02,64.4,16,0,4.7,clear sky
174,Yabassi,CM,4.46,9.97,78.8,100,40,3.36,thunderstorm
175,Nsanje,MW,-16.92,35.26,74.16,71,1,6.2,clear sky
176,Bambous Virieux,MU,-20.34,57.76,69.8,64,20,9.17,few clouds
177,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,18.34,scattered clouds
178,Campbell River,CA,50.02,-125.24,50.0,76,75,2.24,broken clouds
179,Olga,RU,43.74,135.29,38.98,74,65,6.69,broken clouds
180,Tuensang,IN,26.28,94.83,67.64,84,99,1.36,light rain
181,Forotic,RO,45.23,21.59,37.4,93,0,2.24,light rain
182,Tezu,IN,27.92,96.17,70.68,73,50,2.21,scattered clouds
183,Port Hardy,CA,50.7,-127.42,51.8,76,75,9.17,broken clouds
184,Pindushi,RU,62.92,34.58,30.81,94,10,6.46,clear sky
185,Egvekinot,RU,66.32,-179.17,9.93,90,24,3.24,few clouds
186,Aklavik,CA,68.22,-135.01,15.8,72,75,4.7,broken clouds
187,Hilo,US,19.73,-155.09,81.0,83,90,6.93,moderate rain
188,Esperance,AU,-33.87,121.9,62.6,100,90,8.05,moderate rain
189,Isangel,VU,-19.55,169.27,77.4,77,10,14.88,clear sky
190,Sosenskiy,RU,54.06,35.96,41.0,93,100,6.71,light rain
191,Hualmay,PE,-11.1,-77.61,68.34,66,70,9.86,broken clouds
192,Atasu,KZ,48.68,71.64,38.88,59,93,4.81,overcast clouds
193,Siauliai,LT,55.93,23.32,46.4,81,90,9.17,overcast clouds
194,Kawhia,NZ,-38.07,174.82,57.99,83,100,1.01,overcast clouds
195,Uvalde,US,29.37,-99.77,82.4,24,1,9.17,clear sky
196,Culpeper,US,38.5,-77.97,59.0,77,75,6.93,broken clouds
197,Kerema,PG,-7.96,145.78,78.87,87,92,5.68,overcast clouds
198,Olavarria,AR,-36.89,-60.32,73.99,39,0,5.01,clear sky
199,Karpogory,RU,64.0,44.45,29.16,94,81,6.02,broken clouds
200,Sumbe,AO,-11.21,13.84,77.02,90,62,8.57,light rain
